NCT Number,Conditions,Conditions_mapped_concept,Conditions_mapped_concept_id,Conditions_mapped_official_concept
NCT07131709,patient satisfaction with ai in doctors consultations,Provider satisfaction w healthcare,C4018890,Provider satisfaction with healthcare delivery:Find:Pt:^Patient:Nom
NCT07037563,hypertension,Hypertension,C0020538,Hypertensive disease
NCT07027618,dementia,dementia,C0011265,Presenile dementia
NCT06961240,difficult intubation,Difficult intubation,C0549401,Difficult tracheal intubation (finding)
NCT07087418,radiology,Radiology,C0034599,Radiology Specialty
NCT06775938,resident education,Education Residency,C4069060,Education Residency
NCT05829590,colonoscopy,colonoscopy,C0009378,colonoscopy
NCT06921447,training,Training,C0040607,Training Programs
NCT07199231,large language model,Large Language Model,C5940609,Large Language Models
NCT06754826,clinical reasoning,Clinical Reasoning,C5392149,Clinical Reasoning
NCT05912361,education,Education,C0013621,Knowledge acquisition
NCT06735807,depression - major depressive disorder,Major depressive disorder (disorder),C1269683,Major Depressive Disorder
NCT04682821,training,Training,C0040607,Training Programs
NCT05981950,retinal diseases,Retinal Diseases,C0035309,Retinal Diseases
NCT04358198,artificial intellegence,Intellektualisering,C0679086,Intellectualization
NCT06633393,randomized controlled trials,RANDOMIZED CONTROLLED TRIALS,C0282440,Randomized Controlled Trials as Topic
NCT06923059,ai validation,Validation Identification,C5551417,Level 1 Metabolite Identification Confidence
NCT06949462,anesthesia,Anesthesia,C0002903,Anesthesia procedures
NCT06676930,colonoscopy,colonoscopy,C0009378,colonoscopy
NCT06817564,exercise,Exercise,C0015259,Exercise
NCT06546592,segmentation,Segmentation,C0008922,"Cleavage Stage, Ovum"
NCT07124624,ct angiography,CT angiography,C1536105,Computed Tomography Angiography
NCT07051343,electronic fetal monitoring,Electronic Fetal Monitoring,C0007208,Cardiotocography
NCT07023471,colonoscopy education,Colonoscopy service,C5688897,Colonoscopy service
NCT06621134,ai chatbot,chatbot,C5421286,Chatbot
NCT07277829,social robots,Social Robots,C5208777,Socially Assistive Robots
NCT06478901,heart failure systolic,heart failure systolic,C1135191,"Heart Failure, Systolic"
NCT07205276,early detection of cancer,Early Detection of Cancer,C2607925,Early Detection of Cancer
NCT05281939,colposcopy,Colposcopy,C0009417,Colposcopy
NCT04304742,fonctional impotence after minor trauma (fall),Frigidnost i impotencija,C0859657,Frigidity and impotence
NCT07216859,cirrhosis,Cirrhosis,C0023890,Liver Cirrhosis
NCT07252193,medical education,Medical education,C0013631,"Education, Medical"
NCT06796166,anxiety,Anxiety,C0003467,Anxiety
NCT07253571,nursing education,nursing education,C0013636,"Education, Nursing"
NCT07167043,mri,MRI,C0024485,Magnetic Resonance Imaging
NCT07179861,"decision support systems, clinical","Decision Support Systems, Clinical",C0525070,"Decision Support Systems, Clinical"
NCT07217236,cardiac implantable electrical devices,electronic cardiac device,C2216239,electronic cardiac device
NCT06957678,lymph node metastasis,Lymph Node Metastasis,C0686619,Lymph Node Metastasis
NCT06957015,crc (colorectal cancer),Colorectal Cancer,C0009402,Colorectal Carcinoma
NCT06570070,mobile health,Mobile Health,C2718080,Mobile Health
NCT06623331,colonoscopy diagnostic techniques and procedures,colonoscopy procedures,C0009378,colonoscopy
NCT07183202,case-based learning,Case Based Reasoning,C1510524,Case Based Reasoning
NCT07229300,echocardiographic software,Cardiac Ultrasound Scanning Software,C3204004,"Software, Ultrasonic Scanning, Cardiac"
NCT04719117,endoscopy,Endoscopy,C0014245,Endoscopy (procedure)
NCT07314853,cancer,Cancer,C0006826,Malignant Neoplasms
NCT07251907,transitions of care,"Transitions, Care",C4019079,Patient Transition
NCT06130397,bone fracture,bone fracture,C0016658,Fracture
NCT05317351,adenoma,Adenoma,C0001430,Adenoma
NCT07160517,child,Child,C0008059,Child
NCT07061132,perceived employability,Employability,C0870486,Employability
NCT05732233,polyp of colon,Polyp of colon,C0009376,Colonic Polyps
NCT06726733,emergency department patient,Emergency Department,C0562508,Accident and Emergency department
NCT06905782,colon polyps and adenomas,Adenoma/ca polyps of colon,C0476102,[M]Adenomatous and adenocarcinomatous polyps of colon
NCT07105137,emotional regulation,Emotional Regulation,C2370884,Emotional Regulation
NCT07290608,superficial thrombophlebitis,Superficial Thrombophlebitis,C1510431,Superficial Thrombophlebitis
NCT06952439,first trimester pregnancy,First trimester pregnancy,C0032979,"Pregnancy Trimester, First"
NCT04466059,leukemia,leukemia,C0023418,leukemia
NCT06978283,visual case analysis,Visual Interpretation,C2986836,Visual Interpretation
NCT07228689,mass lesion,mass lesion,C0746408,mass lesion
NCT07096232,refractive surgery,Refractive Surgery,C1274010,Surgical ocular refractive procedure
NCT04000087,heart failure,Heart failure,C0018801,Heart failure
NCT07223736,loneliness,Loneliness,C0023974,Loneliness
NCT05438576,pregnancy related,pregnancy related,C0747919,pregnancy related
NCT05389774,"pulmonary nodule, solitary","Pulmonary Nodule, Solitary",C2350019,Solitary Pulmonary Nodule
NCT07203885,acute myeloid leukaemia (aml),AML (acute myeloid leukemia),C0023467,"Leukemia, Myelocytic, Acute"
NCT06811987,conversational ai nursing education serious game,games,C0150593,game
NCT06968533,"ventricular dysfunction, left","Ventricular Dysfunction, Left",C0242698,"Ventricular Dysfunction, Left"
NCT06791109,screening tool,Screening test,C0871311,Screening test
NCT06384846,angina pectoris,angina pectoris,C0002962,Angina Pectoris
NCT07312019,emergency department,Emergency Department,C0562508,Accident and Emergency department
NCT05423964,adenoma colon,adenoma colon,C4551463,Colon adenoma
NCT05140642,"heart failure, diastolic","Heart Failure, Diastolic",C1135196,"Heart Failure, Diastolic"
NCT05457101,pancreatic disease,Pancreatic Disease,C0030286,Pancreatic Diseases
NCT06511505,cardiovascular diseases,Cardiovascular Diseases,C0007222,Cardiovascular Diseases
NCT07151001,diabetic retinopathy,Diabetic Retinopathy,C0011884,Diabetic Retinopathy
NCT06299384,suicide and self-harm,Suicide and self harm,C0178360,Suicide and selfinflicted injury
NCT07113938,patient-phyisican interaction,patient psychotherapist interaction,C0237411,Client Counselor Interaction
NCT07307547,colonic polyp,COLONIC POLYP,C0009376,Colonic Polyps
NCT06746324,lung cancers,Lung Cancers,C0242379,Malignant neoplasm of lung
NCT06428344,artificial intellegence,Intellektualisering,C0679086,Intellectualization
NCT05594485,lung diseases,Lung diseases,C0024115,Lung diseases
NCT03840590,colonic polyp,COLONIC POLYP,C0009376,Colonic Polyps
NCT05115097,covid-19 respiratory infection,COVID-19 respiratory infection,C5244031,COVID-19 respiratory infection
NCT05349110,colorectal polyp,colorectal polyp,C0949059,Polyp of large intestine
NCT07291362,pathology foundation model,Foundational Model of Anatomy,C2332774,Foundational Model of Anatomy Ontology
NCT07261059,colonoscopy,colonoscopy,C0009378,colonoscopy
NCT07010328,physical inactivity,Physical Inactivity,C3890554,Physical Inactivity
NCT06776354,hypertension,Hypertension,C0020538,Hypertensive disease
NCT06330103,heart failure with reduced ejection fraction,Heart failure with reduced ejection fraction,C3839346,Heart failure with reduced ejection fraction
NCT06228014,skin condition,Skin condition,C1719933,Skin condition (observable entity)
NCT07288229,heart failure,Heart failure,C0018801,Heart failure
NCT03870581,warfarin sodium causing adverse effects in therapeutic use,Warfarin sodium causing adverse effects in therapeutic use,C0868255,Warfarin sodium causing adverse effects in therapeutic use
NCT05531058,covid-19,COVID-19,C5203670,COVID-19 Virus Disease
NCT06525181,pelvic cancer,Pelvic Cancer,C0751416,Pelvic Cancer
NCT07302906,"medical records systems, computerized","Medical Records Systems, Computerized",C0079815,"Medical Records Systems, Computerized"
NCT04227795,colonic polyp,COLONIC POLYP,C0009376,Colonic Polyps
NCT06301009,atherosclerosis,ATHEROSCLEROSIS,C0003850,Arteriosclerosis
NCT06645964,glaucoma,Glaucoma,C0017601,Glaucoma
NCT06778486,osteoarthritis of the hip or knee,OSTEOARTHRITIS OF KNEE/HIP,C2675609,OSTEOARTHRITIS SUSCEPTIBILITY 3
NCT06080711,melanoma,melanoma,C0025202,melanoma
NCT06970158,cleft lip palate,cleft lip palate,C0158646,Cleft palate with cleft lip
NCT06799962,anorexia nervosa,Anorexia nervosa,C0003123,Anorexia
NCT06232187,ultrasound,Ultrasound,C0041618,Ultrasonography
NCT07084779,prostatic neoplasm,Prostatic Neoplasm,C0033578,Prostatic Neoplasms
NCT06644014,maximal oxygen uptake,Maximal Oxygen Uptake,C5554892,Maximal Oxygen Uptake
NCT06178900,diagnosis,Diagnosis,C0011900,Diagnosis
NCT07302750,postmenopausal women,Postmenopausal,C0232970,Postmenopausal state
NCT07133867,congenitally missing maxillary lateral incisors,Absent maxillary lateral incisors,C5542302,Absent maxillary lateral incisors
NCT05133544,colonic polyp,COLONIC POLYP,C0009376,Colonic Polyps
NCT05775133,cholelithiasis,Cholelithiasis,C0008350,Cholelithiasis
NCT07300657,peri-implantitis,peri-implantitis,C2936258,Peri-Implantitis
NCT04843176,liver cancer,Liver Cancer,C0279000,Liver and Intrahepatic Biliary Tract Carcinoma
NCT07113951,bacterial infections,Bacterial Infections,C0004623,Bacterial Infections
NCT05374122,non-neoplastic,Non-Malignant,C1518371,Non-Malignant
NCT04186104,outpatient,Outpatient,C0029921,Outpatients
NCT04821349,obscure gastrointestinal bleeding,Obscure gastrointestinal bleeding,C4302233,Obscure gastrointestinal hemorrhage
NCT06968325,pain perception,Pain Perception,C3714605,Pain Perception
NCT06055530,schistosomiasis mansoni,schistosomiasis mansoni,C0036330,Schistosomiasis mansoni
NCT06649500,rehabilitation,rehabilitation,C0007237,Encounter due to care involving use of rehabilitation procedures
NCT06854315,anxiety,Anxiety,C0003467,Anxiety
NCT03268031,glaucoma,Glaucoma,C0017601,Glaucoma
NCT07236385,rounded shoulder posture,Rounded shoulders,C1856872,Down-sloping shoulders
NCT05341674,prosthetic,device prosthetic,C0175649,Prosthesis
NCT07171944,anxiety and depression,Anxiety/depression,C0338908,Mixed anxiety and depressive disorder
NCT06306677,periodontal diseases,Periodontal Diseases,C0031090,Periodontal Diseases
NCT04055766,headache,Headache,C0018681,Headache
NCT06763952,diabetes,Diabetes,C0011847,Diabetes
NCT06978075,reconstruction surgery,Surgery reconstruction,C0524865,Reconstructive Surgical Procedures
NCT05089071,colonoscopy,colonoscopy,C0009378,colonoscopy
NCT06754137,effusion joint,effusion joint,C1253936,Hydrarthrosis
NCT05268263,lung,Lung,C0024109,Lung
NCT04661488,triage,Triage,C0040861,Triage
NCT07027891,chest pain rule out myocardial infarction,CHEST PAIN RULE OUT MYOCARDIAL INFARCTION,C0742300,CHEST PAIN RULE OUT MYOCARDIAL INFARCTION
NCT04126265,colonoscopy,colonoscopy,C0009378,colonoscopy
NCT06897033,dental plaque,Dental Plaque,C0011389,Dental Plaque
NCT06909682,cardiovascular diseases,Cardiovascular Diseases,C0007222,Cardiovascular Diseases
NCT06501599,covid-19 pneumonia,COVID-19 pneumonia,C5244027,Pneumonia caused by SARS-CoV-2
NCT06753318,pancreatitis,Pancreatitis,C0030305,Pancreatitis
NCT07132320,nursing education,nursing education,C0013636,"Education, Nursing"
NCT07019688,artifical intelligence,Intelligence artificielle,C0003916,Artificial Intelligence
NCT07251114,early esophageal cancer,Early Stage Esophageal Carcinoma,C5958990,Early Stage Esophageal Carcinoma
NCT04883567,anemia,Anemia,C0002871,Anemia
NCT05890716,cardiac arrest,Cardiac Arrest,C0018790,Cardiac Arrest
NCT06799793,screening,screening,C0199230,Screening for cancer
NCT05836246,thyroid disease,THYROID DISEASE,C0040128,Thyroid Diseases
NCT05817279,optical coherence tomography,optical coherence tomography,C0920367,"Tomography, Optical Coherence"
NCT07326358,laryngeal disease,Laryngeal Disease,C0023051,Laryngeal Diseases
NCT06039917,surveillance,Surveillance,C0038842,Supervision (regime/therapy)
NCT05683899,length of stay,Length of Stay,C0023303,Length of Stay
NCT05894850,surveillance,Surveillance,C0038842,Supervision (regime/therapy)
NCT05751824,surveillance,Surveillance,C0038842,Supervision (regime/therapy)
NCT06268392,fetal macrosomia,Fetal Macrosomia,C0015938,Fetal Macrosomia
NCT06018545,acute ischemic stroke,Acute Ischemic Stroke,C5392833,Acute Ischemic Stroke
NCT07293078,sepsis,Sepsis,C0036690,Septicemia
NCT06027411,mass lesion,mass lesion,C0746408,mass lesion
NCT07199322,stroke ischemic,stroke ischemic,C0948008,Ischemic stroke
NCT07298252,breast cancer detection,Breast Cancer Detection,C1511288,Breast Cancer Detection Research
NCT06843499,diabetic retinopathy (dr),DR - Diabetic retinopathy,C0011884,Diabetic Retinopathy
NCT04489992,mammary cancer,Mammary Cancer,C0006142,Malignant neoplasm of breast
NCT07235657,acute coronary syndrome,Acute Coronary Syndrome,C0948089,Acute Coronary Syndrome
NCT05176054,aging,Aging,C0001811,Aging
NCT05182580,diabetic macular edema,Diabetic macular edema,C0730285,Macular edema due to diabetes mellitus
NCT05655117,diabetic retinopathy associated with type 2 diabetes mellitus,Diabetic retinopathy associated with type 2 diabetes mellitus,C1719950,Retinopathy due to type 2 diabetes mellitus
NCT07100756,osteoporosis,Osteoporosis,C0029456,Osteoporosis
NCT04555135,colon neoplasm,colon neoplasm,C0009375,Colonic Neoplasms
NCT06672419,fibromyalgia syndrome,Fibromyalgia syndrome,C0016053,Fibromyalgia
NCT07205835,neck disorder,neck disorder,C0558385,Disorder of neck
NCT04196088,colorectal polyp,colorectal polyp,C0949059,Polyp of large intestine
NCT06140849,open bite,Open Bite,C0266061,Open Bite
NCT04678375,retinal diseases,Retinal Diseases,C0035309,Retinal Diseases
NCT07273812,breast neoplasm,BREAST NEOPLASM,C1458155,Mammary Neoplasms
NCT06346496,depression,Depression,C0011570,Mental Depression
NCT06766383,gpt,GPT,C0001899,Alanine Transaminase
NCT07081737,"chronic pain, widespread","Chronic Pain, Widespread",C3178789,Widespread Chronic Pain
NCT06910436,acute coronary syndrome (acs) undergoing percutaneous coronary intervention (pci),percutaneous coronary revascularization during acute myocardial infarction,C5541726,percutaneous coronary revascularization during acute myocardial infarction
NCT06638866,pancreatic ductal adenocarcinoma,Pancreatic Ductal Adenocarcinoma,C1335302,Pancreatic Ductal Adenocarcinoma
NCT07078136,gastrointestinal stromal tumor (gist),Gastrointestinal stromal tumor (GIST),C0238198,Gastrointestinal Stromal Tumors
NCT04515173,mental illness,Mental Illness,C0004936,Mental disorders
NCT05131451,type 2 diabetes,Type 2 Diabetes,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent"
NCT06965439,intervention,Intervention,C0184661,Interventional procedure
NCT06221397,"melanoma, skin",Melanoma of skin,C0151779,Cutaneous Melanoma
NCT07318233,exercise behavior,exercise habits,C4700329,exercise habits
NCT06051682,bone fracture,bone fracture,C0016658,Fracture
NCT07230431,pneumonia,Pneumonia,C0032285,Pneumonia
NCT05787522,breast cancer,Breast Cancer,C0006142,Malignant neoplasm of breast
NCT05539066,type2 diabetes mellitus,type 2 diabetes mellitus,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent"
NCT07316374,anxiety disorders,Anxiety Disorders,C0003469,Anxiety Disorders
NCT05963945,"pulmonary nodule, solitary","Pulmonary Nodule, Solitary",C2350019,Solitary Pulmonary Nodule
NCT06808555,attention deficit disorder with hyperactivity (adhd),"disorder; attention deficit, with hyperactivity (ADHD)",C1263846,Attention deficit hyperactivity disorder
NCT05272189,computer aided diagnosis,Computer-Aided Diagnosis,C0011905,Computer Assisted Diagnosis
NCT07125300,colorectal cancer,Colorectal Cancer,C0009402,Colorectal Carcinoma
NCT06980701,prediabetes,prediabetes,C0362046,Prediabetes syndrome
NCT07307157,lung cancer (diagnosis),Lung cancer NOS,C0242379,Malignant neoplasm of lung
NCT04309851,submerging tooth,Submerging tooth,C0399383,Submerging tooth
NCT06321445,preoperative evaluation,Preoperative Evaluation,C1293091,Pre-surgery evaluation
NCT05784935,colonic polyp,COLONIC POLYP,C0009376,Colonic Polyps
NCT05497258,diagnoses disease,diagnoses disease,C0338067,Disease/diagnosis
NCT03822390,colorectal polyp,colorectal polyp,C0949059,Polyp of large intestine
NCT06974188,pregnancy,Pregnancy,C0032961,Pregnancy
NCT07077694,morphological variation,Phenotypic Variation,C1837514,Phenotypic Variation
NCT06075836,"pulmonary nodules, multiple","Pulmonary Nodules, Multiple",C0748164,Multiple Pulmonary Nodules
NCT07295964,digital occlusal collision,Intrusión Dentaria,C0436039,Tooth Intrusion
NCT05687968,ai-supported real-time dietary feedback,Diet int ass using food models,C0556037,Dietary intake assessment using food models
NCT05415631,cystoscopy,Cystoscopy,C0010702,Cystoscopy
NCT05223712,ophthalmology,Ophthalmology,C0029087,Ophthalmology specialty
NCT05718193,colonoscopy,colonoscopy,C0009378,colonoscopy
NCT04890847,medical imaging,Medical Imaging,C0025086,Medical Imaging
NCT05194215,respiratory issues,Respiratory problem,C1659989,Respiratory problem
NCT04979962,adenoma colon,adenoma colon,C4551463,Colon adenoma
NCT07171086,pregnancy complications,Pregnancy Complications,C0032962,Pregnancy Complications
NCT07316647,anxiety,Anxiety,C0003467,Anxiety
NCT05340738,therapy,therapy,C0039798,therapeutic aspects
NCT07045077,occupational therapy students,Occupational therapy technical instructor (occupation),C0557569,Occupational therapy technical instructor
NCT04138771,postoperative complications,Postoperative Complications,C0032787,Postoperative Complications
NCT07305324,fibrosis of liver,Fibrosis of liver,C0239946,"Fibrosis, Liver"
NCT04232462,endoscopy,Endoscopy,C0014245,Endoscopy (procedure)
NCT06118840,ct angiography,CT angiography,C1536105,Computed Tomography Angiography
NCT06961461,cohort studies,Cohort Studies,C0009247,Cohort Studies
NCT05272267,emergency treatment,Emergency treatment,C0013969,Emergency treatment
NCT06605976,clinical documentation efficiency,Counting Efficiency,C2986734,Counting Efficiency
NCT06629649,ocular hypertension,Ocular Hypertension,C0028840,Ocular Hypertension
NCT04208360,rhonchi,Rhonchi,C0034642,Rales
NCT05883072,diabetic retinopathy,Diabetic Retinopathy,C0011884,Diabetic Retinopathy
NCT07250347,gastric cancer patients undergoing gastrectomy,Gastrectomy Patient,C5239544,Gastrectomy Patient
NCT04340180,breast malignant tumor,Breast Malignant Tumor,C0006142,Malignant neoplasm of breast
NCT06622863,periodontitis,periodontitis,C0031099,Periodontitis
NCT05364268,2019 novel coronavirus infection,2019 Novel Coronavirus Infection,C5203670,COVID-19 Virus Disease
NCT06042543,screening,screening,C0199230,Screening for cancer
NCT06077435,colon lesion,colon lesion,C0742597,colon (non-specific) lesion
NCT07250516,llm-based ai dialogue bot,lmbr rgn dvce ajstmnt ea.ajs,C1535785,Lumbar region device adjustment each adjustment
NCT06828900,"adhd, add",Attention deficit disorder/Attention deficit hyperactivity disorder (ADD/ADHD),C4698661,Attention deficit disorder/Attention deficit hyperactivity disorder (ADD/ADHD)
NCT06859216,artifical intelligence,Intelligence artificielle,C0003916,Artificial Intelligence
NCT07198581,colorectal cancer,Colorectal Cancer,C0009402,Colorectal Carcinoma
NCT04592068,retinal diseases,Retinal Diseases,C0035309,Retinal Diseases
NCT06814327,respiratory failure,Respiratory Failure,C1145670,Respiratory Failure
NCT06791395,colorectal neoplasms,Colorectal Neoplasms,C0009404,Colorectal Neoplasms
NCT06443983,nursing education,nursing education,C0013636,"Education, Nursing"
NCT06613503,urinary tract infection,Urinary tract infection,C0042029,Urinary tract infection
NCT06858371,depression disorders,Depression Disorder,C0011581,Depressive disorder
NCT06969794,gastric lesion,gastric lesion,C0679408,Lesion of stomach
NCT07308522,toothbrushing,Toothbrushing,C0040461,Toothbrushing
NCT04919837,low vision aids,low vision aids,C0276565,Low vision associated with AIDS
NCT07032246,radiologically isolated syndrome,Radiologically isolated syndrome,C4324721,Radiologically isolated syndrome
NCT07153783,intrahepatic cholangiocarcinoma (icc),Intrahepaticus cholangiocarcinoma,C0345905,Intrahepatic Cholangiocarcinoma
NCT05317286,left ventricular dysfunction,left ventricular dysfunction,C0242698,"Ventricular Dysfunction, Left"
NCT06952816,acute respiratory failure,Acute respiratory failure,C0264490,Acute respiratory failure
NCT07291960,diabetic retinopathy (dr),DR - Diabetic retinopathy,C0011884,Diabetic Retinopathy
NCT05220345,colonoscopy,colonoscopy,C0009378,colonoscopy
NCT07133919,local anesthesia,Local anesthesia,C0002921,Local anesthesia
NCT06992908,artifical intelligence,Intelligence artificielle,C0003916,Artificial Intelligence
NCT06428799,breast tumor benign,Breast tumor benign,C0346156,Benign neoplasm of breast
NCT06475703,wound healing delayed,Wound healing delayed,C5200936,Delayed healing of wound
NCT05687318,enteroscope,Enteroscope,C0302677,Enteroscope
NCT07183111,satisfaction assessment of orthodontic patients with both instruction modalities,Orthodontic evaluation summary,C4739445,Orthodontic evaluation summary
NCT05435872,quality control,quality control,C0034378,quality control
NCT06682494,chatbot,chatbot,C5421286,Chatbot
NCT05815017,delirium in old age,Delirium in old age,C3825210,Delirium in old age
NCT06614049,medication nonadherence,Medication Nonadherence,C0746935,Medication Nonadherence
NCT03759756,optical enhancement endoscopy,optical endomicroscopic imaging,C3508225,optical endomicroscopic imaging
NCT05329246,medical device,Medical Device,C0025080,Medical Devices
NCT07184320,partial denture,Partial denture,C0011460,"Denture, Partial"
NCT05059093,fetal growth restriction,Fetal Growth Restriction,C0015934,Fetal Growth Retardation
NCT06842043,nasogastric tube,Nasogastric tube,C0085678,Nasogastric tube
NCT06569017,nursing caries,Nursing caries,C0598276,Caries of infancy associated with breastfeeding
NCT06699056,lvf,LVF,C0023212,Left-Sided Heart Failure
NCT04437615,colorectal,Colorectal,C0555952,Colorectal
NCT05388357,procedure pci,Percutaneous coronary intervention (PCI),C1532338,Percutaneous Coronary Intervention
NCT06285084,preventive cardiology,Heart Disease Prevention,C1456555,How to Prevent Heart Disease
NCT04913181,septic shock,Septic Shock,C0036983,Septic Shock
NCT06791096,screening tool,Screening test,C0871311,Screening test
NCT04022018,radiotherapy side effect,radiotherapy side effect,C0392615,Adverse effect of radiation therapy
NCT04903444,endoscopy,Endoscopy,C0014245,Endoscopy (procedure)
NCT04688086,early detection of cancer,Early Detection of Cancer,C2607925,Early Detection of Cancer
NCT06783933,structural heart disease,heart disease structural disorder,C1290384,Structural disorder of heart
NCT06324981,lifestyle factors,Lifestyle Factors,C5392918,Lifestyle Factors
NCT07280026,infection prevention and control,Infection prevention and control,C0085557,Infection Control
NCT06459427,robotic surgical procedures,Robotic Surgical Procedures,C3850136,Robotic Surgical Procedures
NCT05675540,diabetic macular edema,Diabetic macular edema,C0730285,Macular edema due to diabetes mellitus
NCT05942729,hypokinetic,Hypokinetic,C0086439,Hypokinesia
NCT07243093,otitis media,otitis media,C0029882,Otitis Media
NCT06950996,"lung cancer, non-small cell","Lung cancer, non-small cell",C0007131,Non-Small Cell Lung Carcinoma
NCT07159438,diagnostic imaging,Diagnostic Imaging,C0011923,Diagnostic Imaging
NCT06792292,colonic adenoma,Colonic Adenoma,C4551463,Colon adenoma
NCT06015178,interdisciplinary research,Interdisciplinary Research,C4316843,Interdisciplinary Research
NCT06564571,pancreas disease,pancreas disease,C0030286,Pancreatic Diseases
NCT07265154,amputation,Amputation,C0002688,Amputation
NCT07021781,rehabilitation,rehabilitation,C0007237,Encounter due to care involving use of rehabilitation procedures
NCT06031818,hepatocellular carcinoma,HEPATOCELLULAR CARCINOMA,C2239176,Liver carcinoma
NCT06019663,suicide,Suicide,C0038661,Suicide
NCT06751576,lung cancer,Lung Cancer,C0242379,Malignant neoplasm of lung
NCT04440865,colonoscopy,colonoscopy,C0009378,colonoscopy
NCT06911632,interstitial lung disease (ild),ILD - Interstitial lung disease,C0206062,"Lung Diseases, Interstitial"
NCT05178095,adenoma colon,adenoma colon,C4551463,Colon adenoma
NCT05730192,polyp of colon,Polyp of colon,C0009376,Colonic Polyps
NCT05463289,type 2 diabetes,Type 2 Diabetes,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent"
NCT06519123,clinician satisfaction,Client satisfaction,C0030702,Client satisfaction
NCT06481436,urinary incontinence,Urinary Incontinence,C0042024,Urinary Incontinence
NCT06456203,lung cancer,Lung Cancer,C0242379,Malignant neoplasm of lung
NCT06887595,dental implant failed,Dental implant failed,C0854568,Dental implant failed
NCT07318428,age related macular degeneration,Age related macular degeneration,C0242383,Age related macular degeneration
NCT05284227,surgery,Surgery,C0038894,Surgery specialty
NCT07236970,systemic sclerosis (ssc),Systemic sclerosis [scleroderma],C2364016,Systemic sclerosis [scleroderma]
NCT06642948,breast cancer,Breast Cancer,C0006142,Malignant neoplasm of breast
NCT05147389,non-neoplastic bile duct disorder,Non-Neoplastic Bile Duct Disorder,C3275160,Non-Neoplastic Bile Duct Disorder
NCT05566002,pulmonary arterial hypertension,Pulmonary arterial hypertension,C2973725,Pulmonary arterial hypertension
NCT06374225,wounds and injury,Wounds and Injury,C0043251,Wounds and Injuries
NCT07158203,colonoscopy,colonoscopy,C0009378,colonoscopy
NCT04949776,screening,screening,C0199230,Screening for cancer
NCT06485804,work-related condition,Work-related condition,C0481389,Work-related condition
NCT05118022,hypokalemia,Hypokalemia,C0020621,Hypokalemia
NCT05836064,colonic neoplasms,Colonic Neoplasms,C0009375,Colonic Neoplasms
NCT07077057,acute coronary syndrome (acs),ACS - Acute coronary syndrome,C0948089,Acute Coronary Syndrome
NCT04859634,diagnostic imaging,Diagnostic Imaging,C0011923,Diagnostic Imaging
NCT06057272,fracture lower leg,fracture lower leg,C0159852,Fracture of tibia and fibula
NCT06447012,colorectal polyp,colorectal polyp,C0949059,Polyp of large intestine
NCT04837599,adenoma,Adenoma,C0001430,Adenoma
NCT05740137,colorectal adenoma,Colorectal adenoma,C1302401,Adenoma of large intestine
NCT07074808,emergencies,emergencies,C0013956,Emergency Situation
NCT06856694,shared decision making,Shared Decision Making,C3179495,"Decision Making, Shared"
NCT05925764,whole slide image,Slide Image,C5236993,Slide Image
NCT06173258,colonoscopy,colonoscopy,C0009378,colonoscopy
NCT06061822,healthy volunteers,Healthy Volunteers,C1708335,Healthy Volunteers
NCT05885334,caring,Caring,C0150499,Caring
NCT05900440,ultrasound imaging,Ultrasound Imaging,C0041618,Ultrasonography
NCT06052241,folliculitis,Folliculitis,C0016436,Folliculitis
NCT05629793,fatigue,Fatigue,C0015672,Fatigue
NCT06749743,artifical intelligence,Intelligence artificielle,C0003916,Artificial Intelligence
NCT06918444,non communicable chronic diseases,Non communicable Chronic Diseases,C4505066,Non-communicable Chronic Diseases
NCT06699433,rotavirus enteritis with hypovolemic shock,rotavirusgastro-enteritis,C0343363,Viral gastroenteritis due to Rotavirus
NCT07205263,intraventricular hemorrhage,Intraventricular hemorrhage,C0240059,Ventricular hemorrhage
NCT05173064,knee osteoarthritis,knee osteoarthritis,C0409959,"Osteoarthritis, Knee"
NCT04933890,heart failure,Heart failure,C0018801,Heart failure
NCT06521788,screening,screening,C0199230,Screening for cancer
NCT04551287,diagnostic platform,Platform,C1710360,Technology Platform
NCT06553326,colon rectal cancer,colon rectal cancer,C0009402,Colorectal Carcinoma
NCT07305337,"multiple myeloma (mm), lymphoma, large b-cell, diffuse (dlbcl), lymphoma",MCD DLBCL,C4725002,MCD Diffuse Large B-Cell Lymphoma
NCT03761771,mean number of polyps per colonoscopy for colonoscopists and colonoscopists + ads,colonoscopy mass multiple polyps,C4295967,colonoscopy mass multiple polyps
NCT06714097,moyamoya disease,Moyamoya Disease,C0026654,Moyamoya Disease
NCT06079619,pigmented lesions,Pigmented lesions,C1402291,Pigmented lesions
NCT05476978,"pancreatitis, chronic","Pancreatitis, Chronic",C0149521,"Pancreatitis, Chronic"
NCT06423274,diabetic macular edema,Diabetic macular edema,C0730285,Macular edema due to diabetes mellitus
NCT06902675,medical reporting,medical reports,C0422136,Medicals/reports NOS
NCT06985680,type 2 diabetes mellitus (t2dm),T2DM - Type 2 Diabetes mellitus,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent"
NCT06086951,attention deficit hyperactivity disorder,Attention deficit hyperactivity disorder,C1263846,Attention deficit hyperactivity disorder
