NCT Number,Conditions,Conditions_mapped_concept,Conditions_mapped_concept_id,Conditions_mapped_official_concept
NCT05438576,cardiomyopathy,Cardiomyopathy,C0878544,Cardiomyopathies
NCT04339855,focus of the study is to evaluate a new developed deep-learning computer-aided detection system in combination with lci for colorectal polyp detection,Deep Ensemble for the Recognition of Malignancy Analysis,C5781391,Deep Ensemble for the Recognition of Malignancy Analysis
NCT05336448,critical illness,Critical Illness,C0010340,Critical Illness
NCT07203885,acute promyelocytic leukemia (apl),APL - Acute promyelocytic leukemia,C0023487,Acute Promyelocytic Leukemia
NCT06811987,nursing teaching pedagogy,nurse teaching,C0015538,"Faculty, Nursing"
NCT06968533,heart failure,Heart failure,C0018801,Heart failure
NCT06791109,congenital heart disease (chd),CHD - Congenital heart disease,C0152021,Congenital heart disease
NCT06384846,acute coronary syndrome,Acute Coronary Syndrome,C0948089,Acute Coronary Syndrome
NCT06702423,healthy,Healthy,C3898900,Healthy
NCT07312019,drug-related iatrogenesis,Drug-device incompatibility,C4285689,Drug-device incompatibility
NCT06648239,coronary artery disease,coronary artery disease,C0010054,Coronary Arteriosclerosis
NCT05423964,adenoma,Adenoma,C0001430,Adenoma
NCT05140642,"heart failure, systolic","Heart Failure, Systolic",C1135191,"Heart Failure, Systolic"
NCT07157943,burnout,Burnout,C0006433,"Burnout, Professional"
NCT06578988,"cancer, breast","Cancer, Breast",C0006142,Malignant neoplasm of breast
NCT05495659,ureteral stent-related symptom,Ureteral stent-related symptom,C5568086,Disorder caused by ureteric stent
NCT06145880,pulmonary hypertension,Pulmonary Hypertension,C0020542,Pulmonary Hypertension
NCT06773832,colorectal polyps,Colorectal polyps,C0949059,Polyp of large intestine
NCT06997107,primary care patients,"Physicians, Primary Care",C0033131,Primary Care Physicians
NCT03530098,bone age,Bone age,C0429620,Bone maturation age
NCT05457101,endoscopic ultrasonography,endoscopic ultrasonography,C0376443,Endoscopic Ultrasound
NCT06433024,venous disease,venous disease,C0235522,Disorder of vein
